iter	Passed	Remaining
0	0	3573
1	1	2865
2	1	2949
3	2	2883
4	2	2804
5	3	2710
6	3	2665
7	4	2638
8	4	2562
9	5	2510
10	5	2497
11	6	2502
12	6	2501
13	6	2489
14	7	2481
15	7	2471
16	8	2450
17	8	2433
18	9	2455
19	9	2454
20	10	2449
21	10	2456
22	11	2468
23	11	2446
24	12	2440
25	12	2432
26	13	2436
27	13	2422
28	14	2409
29	14	2409
30	14	2400
31	15	2402
32	16	2485
33	17	2488
34	17	2486
35	18	2484
36	18	2469
37	18	2461
38	19	2452
39	19	2452
40	20	2452
41	20	2449
42	21	2443
43	21	2436
44	22	2426
45	22	2419
46	22	2412
47	23	2407
48	23	2410
49	24	2404
50	24	2410
51	25	2406
52	25	2404
53	26	2400
54	26	2393
55	27	2388
56	27	2383
57	27	2377
58	28	2375
59	28	2372
60	29	2372
61	29	2373
62	30	2369
63	30	2370
64	31	2370
65	31	2375
66	32	2371
67	32	2377
68	33	2373
69	33	2376
70	34	2373
71	34	2368
72	35	2368
73	35	2363
74	36	2366
75	36	2363
76	36	2363
77	37	2363
78	37	2356
79	38	2357
80	38	2357
81	39	2351
82	39	2351
83	40	2355
84	40	2352
85	41	2352
86	41	2351
87	42	2349
88	42	2346
89	42	2344
90	43	2339
91	43	2336
92	44	2335
93	44	2330
94	45	2331
95	45	2329
96	46	2325
97	46	2326
98	47	2329
99	47	2331
100	48	2332
101	48	2332
102	49	2331
103	49	2330
104	49	2327
105	50	2326
106	50	2325
107	51	2327
108	51	2329
109	52	2329
110	52	2326
111	53	2324
112	53	2320
113	54	2319
114	54	2317
115	55	2315
116	55	2315
117	55	2313
118	56	2312
119	57	2336
120	57	2337
121	58	2337
122	58	2337
123	59	2338
124	59	2336
125	60	2333
126	60	2331
127	61	2334
128	61	2333
129	62	2349
130	63	2349
131	63	2351
132	64	2351
133	64	2354
134	65	2352
135	65	2353
136	66	2354
137	66	2353
138	67	2352
139	67	2350
140	68	2351
141	68	2348
142	69	2345
143	69	2345
144	70	2344
145	70	2347
146	71	2350
147	71	2347
148	72	2344
149	72	2342
150	72	2342
151	73	2340
152	73	2338
153	74	2338
154	74	2335
155	75	2334
156	75	2331
157	76	2331
158	76	2328
159	76	2326
160	77	2325
161	77	2325
162	78	2322
163	78	2323
164	79	2338
165	80	2340
166	80	2338
167	81	2338
168	81	2336
169	82	2334
170	82	2332
171	83	2330
172	83	2330
173	84	2330
174	84	2329
175	84	2327
176	85	2327
177	85	2328
178	86	2330
179	87	2330
180	87	2327
181	87	2325
182	88	2323
183	88	2322
184	89	2322
185	89	2321
186	90	2319
187	90	2316
188	90	2315
189	91	2315
190	91	2314
191	92	2313
192	92	2312
193	93	2311
194	93	2311
195	94	2310
196	94	2309
197	95	2309
198	95	2308
199	96	2308
200	96	2306
201	97	2306
202	97	2306
203	98	2305
204	98	2304
205	98	2303
206	99	2303
207	99	2302
208	100	2300
209	100	2300
210	101	2299
211	101	2299
212	102	2301
213	102	2299
214	103	2299
215	103	2297
216	104	2296
217	104	2295
218	105	2295
219	105	2294
220	106	2293
221	106	2292
222	106	2291
223	107	2289
224	107	2288
225	108	2287
226	108	2288
227	109	2288
228	109	2288
229	110	2290
230	110	2291
231	111	2289
232	111	2287
233	112	2285
234	112	2284
235	113	2283
236	113	2281
237	114	2281
238	114	2279
239	114	2279
240	115	2277
241	115	2277
242	116	2276
243	116	2275
244	117	2275
245	117	2275
246	118	2274
247	118	2274
248	119	2273
249	119	2272
250	120	2271
251	120	2270
252	120	2268
253	121	2268
254	121	2267
255	122	2265
256	122	2265
257	123	2264
258	123	2263
259	124	2261
260	124	2261
261	124	2260
262	125	2259
263	126	2261
264	126	2260
265	126	2259
266	127	2257
267	127	2256
268	128	2254
269	128	2253
270	129	2252
271	129	2253
272	130	2252
273	130	2251
274	130	2250
275	131	2249
276	131	2247
277	132	2247
278	132	2246
279	133	2248
280	133	2247
281	134	2248
282	134	2248
283	135	2248
284	135	2247
285	136	2256
286	137	2256
287	137	2254
288	138	2253
289	138	2253
290	139	2252
291	139	2250
292	140	2251
293	140	2250
294	141	2249
295	141	2247
296	141	2246
297	142	2244
298	142	2243
299	143	2241
300	143	2240
301	143	2238
302	144	2237
303	144	2237
304	145	2238
305	145	2236
306	146	2235
307	146	2234
308	147	2232
309	147	2230
310	147	2229
311	148	2230
312	148	2228
313	149	2228
314	149	2229
315	150	2229
316	150	2229
317	151	2227
318	151	2226
319	152	2225
320	152	2224
321	153	2223
322	153	2222
323	153	2221
324	154	2220
325	154	2219
326	155	2217
327	155	2217
328	156	2216
329	156	2215
330	157	2216
331	157	2216
332	158	2216
333	158	2215
334	159	2215
335	159	2214
336	160	2214
337	160	2213
338	160	2212
339	161	2211
340	161	2211
341	162	2209
342	162	2209
343	163	2207
344	163	2207
345	164	2207
346	164	2206
347	164	2205
348	165	2204
349	165	2202
350	166	2201
351	166	2201
352	167	2201
353	167	2199
354	168	2199
355	168	2197
356	168	2196
357	169	2195
358	169	2195
359	170	2194
360	170	2193
361	171	2192
362	171	2192
363	172	2192
364	172	2191
365	173	2190
366	173	2190
367	173	2189
368	174	2189
369	174	2189
370	175	2187
371	175	2188
372	176	2187
373	176	2185
374	177	2184
375	177	2184
376	178	2183
377	178	2183
378	179	2182
379	179	2187
380	180	2186
381	180	2185
382	181	2185
383	181	2183
384	182	2182
385	182	2181
386	182	2179
387	183	2178
388	183	2177
389	184	2176
390	184	2174
391	184	2173
392	185	2173
393	185	2171
394	186	2171
395	186	2171
396	187	2170
397	187	2171
398	188	2169
399	188	2169
400	189	2168
401	189	2167
402	189	2166
403	190	2165
404	190	2164
405	191	2163
406	191	2163
407	192	2162
408	193	2170
409	193	2169
410	194	2169
411	194	2170
412	195	2171
413	196	2172
414	196	2172
415	197	2172
416	197	2171
417	197	2170
418	198	2170
419	198	2169
420	199	2168
421	199	2167
422	200	2166
423	200	2164
424	201	2163
425	201	2162
426	201	2163
427	202	2165
428	203	2164
429	203	2164
430	204	2164
431	204	2164
432	205	2164
433	205	2163
434	206	2163
435	206	2162
436	207	2161
437	207	2160
438	207	2159
439	208	2159
440	208	2158
441	209	2157
442	209	2156
443	210	2155
444	210	2155
445	211	2156
446	211	2155
447	212	2154
448	212	2153
449	212	2153
450	213	2151
451	213	2150
452	214	2149
453	214	2148
454	214	2147
455	215	2145
456	215	2145
457	216	2145
458	216	2145
459	217	2144
460	217	2144
461	218	2144
462	218	2143
463	219	2143
464	219	2143
465	220	2145
466	220	2144
467	221	2144
468	222	2144
469	222	2143
470	222	2144
471	223	2144
472	224	2143
473	224	2143
474	224	2143
475	225	2143
476	225	2142
477	226	2145
478	227	2145
479	227	2144
480	228	2144
481	228	2143
482	229	2143
483	229	2142
484	230	2142
485	230	2141
486	231	2142
487	231	2142
488	232	2142
489	232	2142
490	233	2142
491	233	2142
492	234	2142
493	234	2143
494	235	2142
495	235	2142
496	236	2142
497	237	2142
498	237	2142
499	238	2142
500	238	2143
501	239	2142
502	239	2141
503	240	2142
504	240	2142
505	241	2141
506	241	2141
507	242	2140
